tamanho, tempo_iterativo, tempo_dinamico, tempo_fast
100, 0.000013, 0.000128, 0.000017,
200, 0.000023, 0.000219, 0.000019,
300, 0.000037, 0.000239, 0.000022,
400, 0.000049, 0.000414, 0.000022,
500, 0.000063, 0.000431, 0.000024,
600, 0.000076, 0.000474, 0.000025,
700, 0.000091, 0.000534, 0.000027,
800, 0.000104, 0.000577, 0.000023,
900, 0.000112, 0.000702, 0.000026,
1000, 0.000125, 0.001360, 0.000026,
1100, 0.000139, 0.000828, 0.000032,
1200, 0.000151, 0.001103, 0.000026,
1300, 0.000165, 0.001095, 0.000032,
1400, 0.000191, 0.001181, 0.000031,
1500, 0.000206, 0.001230, 0.000031,
1600, 0.000208, 0.001315, 0.000028,
1700, 0.000223, 0.001569, 0.000042,
1800, 0.000253, 0.001531, 0.000035,
1900, 0.000269, 0.001889, 0.000034,
2000, 0.000283, 0.001719, 0.000034,
2100, 0.000303, 0.001721, 0.000034,
2200, 0.000300, 0.001916, 0.000033,
2300, 0.000329, 0.001974, 0.000035,
2400, 0.000334, 0.002347, 0.000033,
2500, 0.000363, 0.002217, 0.000035,
2600, 0.000376, 0.002214, 0.000036,
2700, 0.000385, 0.002267, 0.000037,
2800, 0.000402, 0.002320, 0.000037,
2900, 0.000501, 0.002956, 0.000040,
3000, 0.000461, 0.002586, 0.000038,
3100, 0.000456, 0.002833, 0.000042,
3200, 0.000505, 0.002955, 0.000036,
3300, 0.000492, 0.003253, 0.000045,
3400, 0.000555, 0.003112, 0.000043,
3500, 0.000525, 0.003090, 0.000040,
3600, 0.000548, 0.003385, 0.000041,
3700, 0.000604, 0.003489, 0.000043,
3800, 0.000625, 0.003452, 0.000039,
3900, 0.000606, 0.003365, 0.000041,
4000, 0.000626, 0.004046, 0.000040,
